sku,no_load_rpm,wheel_diameter_mm,no_load_surface_speed_m_s,estimated_ball_speed_m_s_at_nominal_ratio,ideal_linear_curve_max_power_w,stall_current_a,screen_result,status
5203-2402-0019,312,96.0,1.568,1.019,19.46,9.2,FAIL_DIRECT_DRIVE,CALCULATED_WITH_ASSUMED_SPEED_RATIO
5203-2402-0019,312,120.0,1.96,1.274,19.46,9.2,FAIL_DIRECT_DRIVE,CALCULATED_WITH_ASSUMED_SPEED_RATIO
5203-2402-0005,1150,96.0,5.781,3.757,23.32,9.2,FAIL_DIRECT_DRIVE,CALCULATED_WITH_ASSUMED_SPEED_RATIO
5203-2402-0005,1150,120.0,7.226,4.697,23.32,9.2,FAIL_DIRECT_DRIVE,CALCULATED_WITH_ASSUMED_SPEED_RATIO
5203-2402-0003,1620,96.0,8.143,5.293,22.46,9.2,MARGINAL_SHOT_DEPENDENT,CALCULATED_WITH_ASSUMED_SPEED_RATIO
5203-2402-0003,1620,120.0,10.179,6.616,22.46,9.2,PASS_PROTOTYPE_RANGE,CALCULATED_WITH_ASSUMED_SPEED_RATIO
5203-2402-0001,6000,96.0,30.159,19.604,22.64,9.2,OVERSPEED_REDUCTION_REQUIRED,CALCULATED_WITH_ASSUMED_SPEED_RATIO
5203-2402-0001,6000,120.0,37.699,24.504,22.64,9.2,OVERSPEED_REDUCTION_REQUIRED,CALCULATED_WITH_ASSUMED_SPEED_RATIO
